Portugiesisch;Deutsch;Notiz/Beispiel
O clima está muito bom;Das Wetter ist sehr gut;
A temperatura está muito boa;Die Temperatur ist sehr gut;
Fiz desporto hoje de manhã;Ich habe heute Morgen Sport gemacht;
Infelizmente;leider;
Eu também fui ao ginásio;Ich war auch im Fitnessstudio;
Que tipo de treino fazes?;Welche Art von Training machst du?;
Hoje treinei todo o corpo;Heute habe ich Full-Body trainiert;
Ontem corri 7 quilómetros;Gestern bin ich 7 km gelaufen;
Eu tento correr;Ich versuche zu laufen;tentar + Inf
Duas vezes por semana;zwei Mal pro Woche;
Eu gostaria;Ich würde gerne;Konditional
De correr mais;mehr zu laufen;
Quando começaste?;Wann hast du angefangen?;
Colocar / Pôr;setzen / legen / stellen;
Consistência;Konsistenz / Beständigkeit;
Fator mais importante;wichtigster Faktor;
Sucesso;Erfolg;
Sem consistência, sem sucesso;Ohne Konsistenz kein Erfolg;Spruch
Tu tens razão;Du hast Recht;
Como vai o seu trabalho?;Wie läuft deine Arbeit?;
Está bem;Es geht gut;
Novo cliente;neuer Kunde;
Tudo vai bem;Alles läuft gut;
Precisamos resolver;Wir müssen lösen;
Algumas coisinhas;ein paar Kleinigkeiten;
Eu construí;Ich habe gebaut;construir Pretérito
Aplicação;App / Anwendung;
Estudar Português;Portugiesisch lernen;
Está a funcionar bem;Es funktioniert gut;estar a + Inf
A aplicação atende minhas necessidades;Die App deckt meine Bedürfnisse ab;
Aprendizagem;Lernen / Lernprozess;
Que horas são?;Wie spät ist es?;
São 12 horas e 27 minutos;Es ist 12:27 Uhr;
Fazer a mala;den Koffer packen;
Vou viajar amanhã;Ich werde morgen reisen;ir + Inf = Zukunft
Visitar um parceiro de negócios;einen Geschäftspartner besuchen;
Ver o médico;zum Arzt gehen;
Sessão de fotos;Foto-Session;
Quero te contar uma coisa;Ich möchte dir etwas erzählen;
Mudar-se;umziehen;reflexiv
Um novo capítulo;ein neues Kapitel;
Não há sucesso sem riscos;Kein Erfolg ohne Risiko;
Principalmente;vor allem;
Não tens muito a perder;Du hast nicht viel zu verlieren;
Viver na vila;in einem Dorf leben;
Tranquilo;ruhig;
Dá-te muita energia;Es gibt dir viel Energie;
Focar no que é importante;sich auf das Wichtige konzentrieren;
Construíram uma casa;sie haben ein Haus gebaut;
Para o meu futuro;für meine Zukunft;
Quão grande?;Wie groß?;
Inteligência artificial;künstliche Intelligenz;
