Portugiesisch;Deutsch;Notiz/Beispiel
Como foi o seu dia ontem?;Wie war dein Tag gestern?;
Foi bom;Es war gut;
Estava ensolarado;Es war sonnig;Imperfeito
Fui tomar café;Ich war Kaffee trinken;
Cozinhar;kochen;
Cozinhei;ich habe gekocht;Pretérito
Comi;ich habe gegessen;comer Pretérito
Tu gostas de cozinhar?;Magst du kochen?;
Arroz;Reis;
Peixe;Fisch;
Massa;Pasta / Nudeln;
Carne;Fleisch;
Tenho preguiça de;Ich habe keine Lust auf;
Peito de frango;Hähnchenbrust;
Frango;Hähnchen;
Fígado;Leber;
Feijão;Bohnen;
Aveia;Hafer;
Ovos;Eier;
Cebola;Zwiebel;
Alho;Knoblauch;
Limão;Zitrone;
Cenoura;Karotte;
Temperos;Gewürze;
Páprica;Paprika (Gewürz);
Folha de louro;Lorbeerblatt;
Quando tu vais para Portugal?;Wann fährst du nach Portugal?;
Em maio;im Mai;
Último / Última;letzte/r;
No último fim de semana;letztes Wochenende;
Viajei;ich bin gereist;viajar Pretérito
Cansativo;anstrengend;
Tem / Há;es gibt;
Cidade natal;Heimatstadt;
Visitar;besuchen;
Comida salgada;salziges Essen;
Esse tipo de feijão;diese Sorte Bohnen;
Principal;Haupt-;
Fome;Hunger;
Com fome;hungrig;
Nunca;nie;Häufigkeit
Sempre;immer;
Às vezes;manchmal;
