Portugiesisch;Deutsch;Notiz/Beispiel
Estou feliz;Ich bin glücklich;
Comecei uma nova rotina;Ich habe eine neue Routine angefangen;começar Pretérito
Eu acordo cedo;Ich wache früh auf;
Caminhada;Spaziergang;
Corrida;Lauf / Joggen;
Similar / Parecida;ähnlich;
Acordo às 6:30;Ich wache um 6:30 auf;às horas
Às vezes;manchmal;
Às vezes ficamos cansados;Manchmal werden wir müde;
Não tive muito tempo;Ich hatte nicht viel Zeit;
Esta semana;diese Woche;
Foi muito cansativo;Es war sehr anstrengend;
O céu;der Himmel;
Nuvens brancas;weiße Wolken;
Chove;es regnet;chover
Inverno;Winter;
Verão;Sommer;
Primavera;Frühling;
Outono;Herbst;
Flores amarelas;gelbe Blumen;
Árvores;Bäume;
Que idade tem a sua namorada?;Wie alt ist deine Freundin?;
Como ela é?;Wie ist sie?;Beschreibung mit ser
De que cor são os olhos dela?;Welche Augenfarbe hat sie?;
Comprido;lang;
Levar;nehmen / mitnehmen;
Azuis;blau (Plural);
Arco-íris;Regenbogen;
Estou com medo;Ich habe Angst;estar com + Substantiv
Estou com fome;Ich habe Hunger;
Estou com saudades;Ich habe Sehnsucht;
Estou com sede;Ich habe Durst;
Estou com inveja;Ich bin neidisch;
Estou com vontade de;Ich habe Lust auf;
Estou com calor;Mir ist heiß;
Estou com sono;Ich bin müde / schläfrig;
Estou com dor de dentes;Ich habe Zahnschmerzen;
Estou contente;Ich bin zufrieden / froh;estar + Adjektiv
