Portugiesisch;Deutsch;Notiz/Beispiel
Tem sol;Es scheint die Sonne;
Está ensolarado;Es ist sonnig;
22 graus;22 Grad;
Não há problema;Kein Problem;
Fora;draußen;
Relaxei;Ich habe entspannt;relaxar Pretérito
Tinha sol;Es war sonnig;Imperfeito
No domingo fiz a mesma coisa;Am Sonntag habe ich dasselbe gemacht;
Na sexta-feira;am Freitag;
Colega;Kollege/in;
Parceiro de negócios;Geschäftspartner;
Fiz fotos;Ich habe Fotos gemacht;
Uso privado / pessoal;private Nutzung;
Comi sushi;Ich habe Sushi gegessen;
Corri fora;Ich bin draußen gelaufen;correr Pretérito
Só relaxei;Ich habe nur entspannt;
Caminhei / Passeei / Dei voltas;Ich bin spazieren gegangen;
Na natureza;in der Natur;
Num parque;in einem Park;em + um = num
Numa floresta;in einem Wald;em + uma = numa
Desestressar;Stress abbauen / entspannen;
De novo / Novamente;wieder / nochmal;
Os pais do meu amigo;die Eltern meines Freundes;
Dar;geben;
Eles nos deram;Sie gaben uns;dar Pretérito + Pronomen
Qual fruta?;Welche Frucht?;
Quais são as tuas frutas favoritas?;Was sind deine Lieblingsfrüchte?;quais Plural
Graviola;Stachelannone;tropische Frucht
Papaia;Papaya;
Ananás;Ananas;PT-PT (BR: abacaxi)
Morango;Erdbeere;
Eu nunca provei;Ich habe nie probiert;provar Pretérito
Quando eu vivia em Portugal;Als ich in Portugal lebte;Imperfeito
Os meus dentes ficam arrepiados;Meine Zähne werden empfindlich;
Época de morango;Erdbeerzeit;
Delicioso;köstlich;
Diretamente com produtores;direkt vom Erzeuger;
O que tu achas do meu progresso?;Was hältst du von meinem Fortschritt?;
Quanto mais tu tentas, mais chances tens;Je mehr du versuchst, desto mehr Chancen hast du;Spruch
Eu notei;Ich habe bemerkt;notar Pretérito
Estou a aprender todos os dias;Ich lerne jeden Tag;estar a + Inf
Aprendo vocabulários;Ich lerne Vokabeln;
Converso por mensagem;Ich unterhalte mich per Nachricht;
Até agora;bis jetzt;
Estou muito satisfeito;Ich bin sehr zufrieden;
De não entender nada;von nichts verstehen;
Para entender conversações básicas;zu Grundkonversationen verstehen;
Da forma como estás a fazer;so wie du es machst;
Eu acho que deves;Ich denke, du solltest;
Continuar a aprender contigo;weiter mit dir lernen;
Contigo;mit dir;
Comigo;mit mir;
Connosco / Conosco;mit uns;PT-PT: connosco
Convosco;mit euch;
Pouco a pouco;Stück für Stück;
Vamos chegar lá;Wir werden es schaffen;
Infância;Kindheit;
Quando era criança;als ich Kind war;Imperfeito
Rotina semanal;Wochenroutine;
Durante o dia;während des Tages;
Durante a semana;während der Woche;
