Portugiesisch;Deutsch;Notiz/Beispiel
Bom dia;Guten Morgen / Guten Tag;Begrüßung
Olá;Hallo;
Eu sou;Ich bin;ser
Sou da Alemanha;Ich komme aus Deutschland;
Vivo em Frankfurt;Ich wohne in Frankfurt;viver
Moro em Frankfurt;Ich wohne in Frankfurt;morar
Tenho 28 anos;Ich bin 28 Jahre alt;ter (haben für Alter!)
Sou empreendedor;Ich bin Unternehmer;
Gosto de;Ich mag;+ Verb oder Substantiv
Não gosto de;Ich mag nicht;
Trabalho com;Ich arbeite mit;
Trabalho como;Ich arbeite als;
Preguiça;Faulheit;Substantiv
Preguiçoso;faul (m);Adjektiv männlich
Preguiçosa;faul (w);Adjektiv weiblich
O que mais?;Was noch?;Frage
Meu nome é;Mein Name ist;
Chamo-me;Ich heiße;reflexiv
Como te chamas?;Wie heißt du?;informell, reflexiv
Qual é o seu nome?;Wie ist Ihr Name?;formell
Qual é a sua cidade preferida?;Was ist deine Lieblingsstadt?;
Onde moras?;Wo wohnst du?;
Onde vives?;Wo lebst du?;
Quem te recomendou a mim?;Wer hat dich mir empfohlen?;
Quando vais para Portugal?;Wann fährst du nach Portugal?;
O que é um carro elétrico?;Was ist ein Elektroauto?;
Que negócio queres fazer?;Was für ein Geschäft willst du machen?;
Porquê?;Warum?;
Quantos anos tens?;Wie alt bist du?;
Eu;ich;Pronomen
Tu;du;Pronomen (informell)
Ele;er;
Ela;sie;
Você;Sie / du (BR);formell PT, du in BR
Nós;wir;
Eles;sie (m. oder gemischt);
Elas;sie (nur weiblich);
Vocês;ihr / Sie (Plural);
gostar;mögen;Verb
trabalhar;arbeiten;Verb -ar
ter;haben;Verb unregelmäßig
viver;leben;Verb -er
viajar;reisen;Verb -ar
pessoas;Personen / Menschen;
preparar;vorbereiten;
esperar;warten;
cidade;Stadt;
para;für / zum / nach;Präposition
o pintor / a pintora;Maler / Malerin;Beruf
o cantor / a cantora;Sänger / Sängerin;
o tradutor / a tradutora;Übersetzer / Übersetzerin;
o médico / a médica;Arzt / Ärztin;
o advogado / a advogada;Anwalt / Anwältin;
o cabeleireiro / a cabeleireira;Friseur / Friseurin;
o jornalista / a jornalista;Journalist (gleich m/f);
o dentista / a dentista;Zahnarzt (gleich m/f);
o motorista / a motorista;Fahrer (gleich m/f);
o estudante / a estudante;Student (gleich m/f);
Onde fica a casa de banho?;Wo ist die Toilette?;praktische Frage
