Portugiesisch;Deutsch;Notiz/Beispiel
Onde estavas?;Wo warst du?;estar Imperfeito
Eu estava;Ich war;Imperfeito
Eu fui ao médico;Ich war beim Arzt;ir Pretérito
Secura na pele;trockene Haut;
Eu vou;Ich gehe;ir Presente
Também;auch;
Comecei a escrever;Ich habe angefangen zu schreiben;começar a + Inf
Mensagens;Nachrichten;
Parceira de negócios;Geschäftspartnerin;
O que fizeste?;Was hast du gemacht?;fazer Pretérito
O que tens feito?;Was hast du so gemacht?;Pretérito Perfeito Composto
Terraço;Dachterrasse;
Não é bem um restaurante;Es ist nicht wirklich ein Restaurant;
Nós fomos lá;Wir gingen dorthin;ir Pretérito
Matraquilhos;Tischfußball / Kicker;PT-PT
Ficámos lá;Wir blieben da;ficar Pretérito (PT-PT mit Akzent)
Saímos;Wir sind weggegangen;sair Pretérito
Não consegui acabar;Ich konnte nicht aufessen;conseguir Pretérito
Eu estava muito cheio;Ich war sehr satt;Imperfeito
Doce de mandioca;Maniok-Süßspeise;
Eu só fiquei em casa;Ich bin nur zu Hause geblieben;
Eu não saí;Ich bin nicht rausgegangen;
Saí para caminhar;Ich ging spazieren;
Foi tranquilo;Es war ruhig;
Encontrei;Ich traf;encontrar Pretérito
Almoçámos juntos;Wir aßen zusammen zu Mittag;
Comemos comida alemã;Wir aßen deutsches Essen;
Restaurante tradicional;traditionelles Restaurant;
Eu fiz desporto;Ich habe Sport gemacht;
Eu fui à sauna;Ich war in der Sauna;
Subestimada;unterschätzt;
Pesada;deftig / schwer (Essen);
Comida favorita;Lieblingsessen;
Pequenos pepinos;kleine Gurken;
Queijos;Käse (Plural);
Pão;Brot;
Depois de;nach (zeitlich);
Depois desta aula;nach dieser Stunde;
Ganhar;gewinnen / verdienen;
Hora;Stunde / 1 Uhr;1 hora (Singular)
Horas;Stunden / Uhr (ab 2);São 2 horas
Com frequência;oft;
Duas a três vezes por semana;zwei bis drei Mal pro Woche;
Quase;fast;
Poucas vezes;selten / wenige Male;
Levar;nehmen / mitnehmen;
Para ti;für dich;
Cultura de comer fora;Kultur, auswärts zu essen;
Caro;teuer;
Mistura;Mischung;
Uma vez por semana;einmal pro Woche;
