Portugiesisch;Deutsch;Notiz/Beispiel
Estou na Alemanha;Ich bin in Deutschland;estar + em (na)
É difícil;Es ist schwierig;
Não é fácil;Es ist nicht einfach;
Como foi o seu fim de semana?;Wie war dein Wochenende?;Pretérito
Foi muito difícil;Es war sehr schwer;
O que tu fizeste no fim de semana?;Was hast du am Wochenende gemacht?;fazer im Pretérito
No sábado eu fui ver...;Am Samstag war ich (besichtigen)...;
Ontem eu saí para comer;Gestern bin ich essen gegangen;sair Pretérito
Depois;danach / später / dann;
Que fazes?;Was machst du?;Presente
O que é que estás a fazer agora?;Was machst du gerade?;Verlaufsform
Assim;so / auf diese Weise;
Diverti-me;Ich hatte Spaß;
Foi divertido;Es hat Spaß gemacht;
Foi fixe;Es war cool;Slang
Almoçar;zu Mittag essen;
Jantar;zu Abend essen / Abendessen;
Apanhar;nehmen / fangen;
Ela é só uma amiga;Sie ist nur eine Freundin;
Quem;Wer;Fragewort - nur Personen
Como;Wie;
Qual / Que / O que;Welche/r / Was;
Quantos;Wie viele;
Onde;Wo;
Quando;Wann;
Quanto;Wie viel / Wie lange;
Qual é o gel que usas?;Welches Gel benutzt du?;qual = Auswahl
Que gel é este?;Was für ein Gel ist das?;
inteligente;intelligent;
ambicioso;ehrgeizig;
forte;stark;
em forma;in Form / fit;
sarado;muskulös / sportlich (umgangssprachlich);
cabelo castanho;braune Haare;
olhos castanhos;braune Augen;
